 DATA/Model_tpxo7.2
 WE velocity  (cm/s)
   Lat     Lon       m2_amp  m2_ph   s2_amp  s2_ph   
  66.7489   41.3102   8.860    99.2   2.753   135.1
  66.7179   41.3862  16.559   115.5   4.206   154.6
  66.6870   41.4622  23.615   123.9   5.377   167.5
  66.6561   41.5381  30.074   126.7   6.584   173.3
  66.6252   41.6141  36.429   127.7   7.811   176.6
  66.5943   41.6901  35.970   127.3   7.652   178.0
  66.5634   41.7661  32.848   126.2   6.940   178.4
  66.5325   41.8421  30.386   123.5   6.350   177.9
  66.5016   41.9181  26.334   120.4   5.467   176.8
  66.4707   41.9941  20.841   120.2   4.366   176.8
  66.4398   42.0700  12.362   120.0   2.677   176.7
  66.4398   42.0700  12.362   120.0   2.677   176.7
  66.4089   42.1460   0.150    47.0   0.237   173.5
