 DATA/Model_tpxo7.2
 SN velocity  (cm/s)
   Lat     Lon       m2_amp  m2_ph   s2_amp  s2_ph   
  66.7489   41.3102  29.558   119.6   7.906   159.7
  66.7179   41.3862  35.511   120.9   9.037   161.5
  66.6870   41.4622  42.352   123.8  10.217   165.5
  66.6561   41.5381  50.598   127.1  11.573   170.5
  66.6252   41.6141  58.138   129.4  12.781   175.0
  66.5943   41.6901  54.332   129.6  11.663   176.6
  66.5634   41.7661  45.966   129.0   9.663   176.9
  66.5325   41.8421  39.770   124.8   8.162   174.7
  66.5016   41.9181  35.276   119.7   6.986   171.9
  66.4707   41.9941  30.157   113.6   5.657   168.0
  66.4398   42.0700  18.763   113.1   3.473   167.5
  66.4398   42.0700  18.763   113.1   3.473   167.5
  66.4089   42.1460   9.069   113.2   1.638   167.1
