 DATA/Model_tpxo7.2
 Elevations (m)
   Lat     Lon       m2_amp  m2_ph   s2_amp  s2_ph   
  66.7489   41.3102   1.977  -111.8   0.513   -57.4
  66.7179   41.3862   1.940  -112.6   0.503   -58.0
  66.6870   41.4622   1.907  -113.6   0.494   -58.8
  66.6561   41.5381   1.880  -114.6   0.486   -59.5
  66.6252   41.6141   1.857  -115.6   0.479   -60.3
  66.5943   41.6901   1.837  -116.7   0.473   -61.1
  66.5634   41.7661   1.820  -117.9   0.467   -62.1
  66.5325   41.8421   1.807  -119.0   0.462   -62.9
  66.5016   41.9181   1.794  -120.3   0.457   -63.9
  66.4707   41.9941   1.808  -121.0   0.458   -64.5
  66.4398   42.0700   1.809  -121.0   0.458   -64.6
  66.4398   42.0700   1.809  -121.0   0.458   -64.6
  66.4089   42.1460   1.809  -121.0   0.458   -64.6
